CustomerID,Reg,State,City,Marital_status,Education,Default,Balance,HHInsurance,CarLoan
100006,Central,Minnesota,Brooklyn Park,married,secondary,0,3025,0,0
100013,West,California,Los Angeles,single,secondary,0,812,0,1
100048,West,Washington,Seattle,married,tertiary,0,12,1,0
100083,South,North Carolina,Charlotte,divorced,primary,0,976,0,0
100153,Central,Michigan,Detroit,married,primary,0,408,0,0
100202,East,Maine,Auburn,divorced,primary,0,3881,1,0
100209,South,North Carolina,Charlotte,married,primary,0,541,0,0
100279,South,North Carolina,Charlotte,married,primary,0,2795,0,0
100314,South,North Carolina,Charlotte,single,secondary,0,822,0,0
100328,West,Utah,Provo,married,tertiary,0,2326,0,0
100377,West,Idaho,Lewiston,single,secondary,0,651,0,0
100384,East,New York,New York City,married,NA,0,3585,0,0
100419,East,Pennsylvania,Philadelphia,married,secondary,0,95,1,0
100426,West,California,Los Angeles,married,tertiary,0,2991,0,0
100454,East,New York,New York City,married,primary,0,5461,1,0
100468,West,California,Los Angeles,married,secondary,0,1697,0,0
100524,West,California,Los Angeles,divorced,tertiary,0,2367,0,0
100545,Central,Illinois,Chicago,single,tertiary,0,302,0,0
100566,Central,Illinois,Chicago,single,secondary,0,3145,0,0
100573,East,New York,Troy,married,secondary,0,1358,0,0
100650,West,California,San Diego,single,secondary,0,1364,1,0
100720,South,Florida,Miami,divorced,secondary,0,2232,0,0
100748,East,Pennsylvania,Greensburg,married,primary,0,565,0,0
100769,Central,Illinois,Chicago,married,primary,0,1644,0,0
100790,Central,Michigan,Detroit,divorced,secondary,0,0,0,0
100839,South,Georgia,Atlanta,married,tertiary,0,240,1,0
100853,East,New York,New York City,divorced,tertiary,0,0,0,0
100930,East,New York,New York City,married,secondary,0,1730,1,0
100965,Central,Michigan,Detroit,single,tertiary,0,502,0,0
101007,East,New York,New York City,divorced,tertiary,0,0,0,0
101042,West,Oregon,West Linn,divorced,secondary,0,2129,0,0
101049,West,Washington,Seattle,single,tertiary,0,1159,0,0
101182,West,Utah,Provo,married,secondary,0,0,1,1
101210,East,Massachusetts,Boston,single,secondary,0,1243,0,1
101245,East,Pennsylvania,Philadelphia,single,secondary,0,2424,0,0
101343,East,New York,New York City,married,secondary,0,2574,1,0
101378,South,North Carolina,Gastonia,single,secondary,0,-247,1,1
101399,South,Georgia,Atlanta,single,secondary,0,12264,0,0
101434,Central,Illinois,Chicago,divorced,tertiary,0,596,1,0
101476,Central,Illinois,Chicago,single,secondary,0,799,0,0
101483,West,California,Los Angeles,single,secondary,0,1994,0,0
101497,East,New York,New York City,single,secondary,0,2354,0,0
101511,Central,Michigan,Detroit,single,tertiary,0,985,1,0
101539,East,District of Columbia,Washington,single,tertiary,0,644,0,0
101602,West,California,Los Angeles,married,tertiary,0,341,0,0
101707,East,New York,New York City,single,tertiary,0,0,1,1
101749,Central,Texas,College Station,single,secondary,0,1080,1,1
101798,South,Florida,Miami,married,secondary,0,4775,0,0
101910,South,Florida,Miami,single,tertiary,0,129,0,0
101938,South,Florida,Seminole,married,secondary,0,455,1,0
101945,West,California,San Diego,married,tertiary,0,2416,0,0
101966,West,California,Los Angeles,single,tertiary,0,393,0,0
102008,East,District of Columbia,Washington,single,tertiary,0,121,1,0
102036,South,Arkansas,Paragould,married,primary,0,1727,0,0
102071,East,Pennsylvania,Philadelphia,single,tertiary,0,654,1,0
102099,East,New York,Deer Park,divorced,tertiary,0,1070,1,0
102281,East,Massachusetts,Boston,single,tertiary,0,431,0,0
102295,South,Tennessee,Collierville,married,tertiary,1,327,1,1
102337,West,California,Los Angeles,married,tertiary,0,6822,0,0
102414,West,California,Los Angeles,single,secondary,0,5679,1,0
102456,West,California,Los Angeles,married,secondary,0,940,0,0
102519,Central,Illinois,Chicago,married,secondary,0,1967,0,0
102638,West,California,Davis,single,tertiary,0,86,0,0
102722,Central,Michigan,Dearborn,single,secondary,0,2311,0,1
102750,South,Florida,Tampa,married,secondary,0,267,0,0
102771,Central,Texas,Pflugerville,single,secondary,0,154,1,0
102834,Central,Illinois,Chicago,single,secondary,0,23878,0,0
102848,West,California,Los Angeles,married,secondary,0,1035,0,0
102890,East,New York,New York City,married,secondary,0,3243,0,0
102932,West,California,Davis,married,secondary,0,484,1,0
102946,West,California,Los Angeles,divorced,secondary,0,387,1,0
102981,West,California,Los Angeles,married,NA,0,849,1,0
103037,East,Vermont,Burlington,married,secondary,0,0,1,1
103247,East,New York,New York City,single,tertiary,0,4176,0,0
103366,West,California,Los Angeles,single,tertiary,0,3384,0,0
103373,East,District of Columbia,Washington,married,secondary,0,905,0,0
103380,West,Montana,Kalispell,married,primary,0,508,0,0
103471,South,Florida,Miami,single,secondary,0,2265,0,0
103611,East,Massachusetts,Boston,single,secondary,0,1979,1,1
103646,West,California,Los Angeles,married,primary,0,5310,1,0
103723,Central,Minnesota,Brooklyn Park,married,secondary,0,5,0,1
103730,East,Pennsylvania,Philadelphia,married,NA,0,2724,0,0
103793,East,New York,New York City,divorced,secondary,0,237,0,1
103828,Central,Kansas,Hutchinson,married,primary,0,4979,0,0
103849,West,California,San Francisco,single,secondary,0,294,1,1
103891,West,Washington,Seattle,married,tertiary,0,1429,1,0
103905,South,North Carolina,Goldsboro,married,primary,0,889,0,0
103947,West,Washington,Seattle,divorced,secondary,0,3068,1,1
104003,West,California,Los Angeles,married,secondary,0,4608,0,0
104066,West,Montana,Kalispell,married,secondary,0,-522,1,1
104185,Central,Kansas,Garden City,married,NA,0,1559,0,0
104220,Central,Michigan,Detroit,single,secondary,0,151,1,0
104269,South,Florida,Miami,married,secondary,0,273,0,0
104283,South,Arkansas,North Little Rock,married,primary,0,102,1,0
104381,East,Maryland,Cumberland,single,tertiary,0,2103,0,0
104430,West,Washington,Seattle,married,tertiary,0,2976,1,0
104472,East,District of Columbia,Washington,married,secondary,0,202,1,0
104493,West,California,Los Angeles,divorced,secondary,0,1224,1,0
104514,South,Florida,Tampa,married,tertiary,0,1058,0,0
104626,East,Maine,Brunswick,married,tertiary,0,-3058,1,1
104640,South,Alabama,Selma,single,tertiary,0,763,0,0
104647,West,Washington,Edmonds,married,tertiary,0,346,0,0
104745,Central,Texas,Houston,married,secondary,0,4721,0,0
104773,South,North Carolina,Charlotte,married,secondary,0,0,1,0
104780,Central,Nebraska,Papillion,single,tertiary,0,1396,1,0
104794,Central,Illinois,Chicago,single,secondary,0,293,0,0
104801,South,Georgia,Atlanta,married,secondary,0,203,0,0
104955,East,Massachusetts,Boston,divorced,secondary,0,947,0,0
104976,South,Georgia,Atlanta,married,primary,0,7279,1,0
