Customer_ID,Region,State,City_in_state,Job,Edu,Default,Balance,CarLoan
108910,East,District of Columbia,Washington,management,tertiary,0,2635,0
108966,Central,Illinois,Chicago,technician,tertiary,0,1625,0
108987,West,California,Los Angeles,admin.,secondary,0,678,0
109036,East,Ohio,Hamilton,services,secondary,0,339,0
109057,East,Massachusetts,Boston,student,secondary,0,1809,0
109176,East,Massachusetts,Boston,unemployed,secondary,0,687,0
109197,West,California,Los Angeles,retired,primary,0,9367,0
109218,Central,Oklahoma,Broken Arrow,blue-collar,tertiary,0,2999,0
109232,West,Arizona,Scottsdale,blue-collar,secondary,0,62,0
109344,East,New York,New York City,blue-collar,secondary,0,0,0
109470,Central,Oklahoma,Oklahoma City,management,tertiary,0,816,0
109484,West,Washington,Seattle,blue-collar,secondary,0,49,0
109512,East,New York,New York City,admin.,secondary,0,878,0
109589,West,California,Los Altos,student,NA,0,755,0
109638,South,Georgia,Atlanta,student,secondary,0,17,0
109701,South,Tennessee,Collierville,unemployed,tertiary,0,2812,0
109750,West,Washington,Mount Vernon,entrepreneur,NA,0,3133,1
109778,West,California,Los Altos,admin.,secondary,0,1718,1
109806,Central,Illinois,Chicago,technician,tertiary,0,1699,0
109820,East,New York,New York City,self-employed,tertiary,0,661,0
109869,East,New York,New York City,technician,secondary,0,846,0
109911,East,New York,New York City,student,NA,0,108,0
109939,West,California,Los Angeles,technician,secondary,0,4684,0
109946,West,California,Los Angeles,retired,primary,0,695,0
110016,East,District of Columbia,Washington,management,tertiary,0,294,0
110023,Central,Texas,Dallas,management,tertiary,0,41,0
110030,Central,Minnesota,Brooklyn Center,blue-collar,primary,0,3,1
110072,East,Massachusetts,Boston,retired,secondary,0,569,0
110100,Central,Minnesota,Burnsville,management,tertiary,0,4328,0
110156,West,Washington,Seattle,retired,secondary,0,2850,0
110163,South,Florida,Homestead,retired,secondary,0,2714,0
110170,East,Pennsylvania,Greensburg,admin.,secondary,0,2232,0
110184,East,New York,New York City,blue-collar,secondary,0,152,1
110247,South,Georgia,Dalton,management,secondary,1,879,0
110254,East,New York,New York City,admin.,secondary,0,527,1
110352,West,Washington,Edmonds,technician,secondary,0,4539,0
110366,East,District of Columbia,Washington,management,NA,0,854,0
110380,East,New York,New York City,management,tertiary,0,1138,0
110408,West,California,Los Angeles,management,tertiary,0,51,0
110457,East,Massachusetts,Boston,blue-collar,secondary,0,699,1
110478,West,California,Los Angeles,services,secondary,0,983,0
110499,East,Pennsylvania,Philadelphia,management,tertiary,0,1315,0
110527,East,Massachusetts,Boston,entrepreneur,tertiary,0,776,1
110576,West,California,Los Angeles,technician,secondary,0,3466,0
110604,West,California,Manhattan Beach,technician,secondary,0,1167,0
110632,Central,Wisconsin,Watertown,blue-collar,primary,0,-1,0
110639,Central,Oklahoma,Owasso,management,tertiary,0,224,0
110667,East,New York,New York City,admin.,secondary,0,-370,0
110674,East,Massachusetts,Boston,management,tertiary,0,786,0
110744,East,Massachusetts,Boston,unemployed,primary,0,129,0
110772,West,California,San Diego,student,secondary,0,394,0
110842,East,Ohio,Hudson,technician,tertiary,0,5110,0
110905,East,District of Columbia,Washington,self-employed,NA,0,4984,0
110996,Central,Illinois,Highland Park,technician,tertiary,0,122,0
111003,West,California,Los Angeles,blue-collar,secondary,0,1568,0
111010,East,District of Columbia,Washington,self-employed,tertiary,0,1382,0
111059,West,California,Los Angeles,management,tertiary,0,147,0
111094,East,New York,New York City,services,secondary,0,2145,0
111115,West,New Mexico,Santa Fe,technician,tertiary,0,3382,0
111150,West,Washington,Seattle,student,tertiary,0,326,0
111164,East,New York,New York City,management,tertiary,0,502,0
111171,West,California,Los Angeles,admin.,secondary,0,241,0
