CustomerID,Region,State,City,Job,Marital,Default,Balance,HHInsurance,CarLoan
125199,East,District of Columbia,Washington,management,married,0,203,0,0
125206,West,Utah,Provo,admin.,divorced,0,10,1,0
125290,West,Idaho,Lewiston,technician,single,0,0,0,0
125318,East,Massachusetts,Boston,blue-collar,married,0,5,0,0
125374,Central,Texas,Dallas,services,married,0,1337,0,0
125388,West,California,San Francisco,technician,married,0,2149,1,0
125395,East,District of Columbia,Washington,management,married,0,0,1,0
125416,West,California,Los Angeles,technician,married,0,2266,0,0
125423,Central,Illinois,Chicago,technician,married,0,473,0,1
125514,South,Florida,Jacksonville,services,married,0,774,0,0
125521,Central,Kansas,Garden City,management,single,0,37,0,0
125556,South,North Carolina,Goldsboro,management,married,0,113,0,0
125612,Central,Michigan,Detroit,blue-collar,single,0,625,0,0
125738,South,North Carolina,Garner,blue-collar,single,0,0,0,0
125969,East,District of Columbia,Washington,entrepreneur,married,0,3904,0,0
126004,West,California,Los Angeles,technician,married,0,4596,1,0
126032,Central,Iowa,Bettendorf,blue-collar,married,0,4787,1,0
126046,West,California,Los Angeles,admin.,married,0,4348,1,0
126067,West,Oregon,Troutdale,student,single,0,691,0,0
126074,East,Pennsylvania,Philadelphia,services,married,0,117,1,0
126137,West,Utah,Provo,student,single,0,67,0,0
126158,Central,Illinois,Chicago,blue-collar,married,0,0,0,0
126179,West,California,Los Angeles,unemployed,divorced,0,201,0,0
126214,West,California,Los Angeles,technician,married,0,1173,1,0
126221,East,Massachusetts,Boston,blue-collar,divorced,0,-191,1,0
126242,Central,Michigan,Bay City,management,married,0,0,0,0
126361,Central,Illinois,Chicago,management,single,0,1361,0,0
126382,East,Pennsylvania,Philadelphia,retired,married,0,281,0,0
126403,East,New Jersey,Irvington,retired,divorced,0,3076,0,0
126445,South,Florida,Miami,technician,single,0,5514,0,0
126522,Central,Illinois,Chicago,blue-collar,married,0,1758,1,0
126529,Central,Illinois,Chicago,blue-collar,married,0,1524,0,0
126536,Central,Texas,Cedar Park,blue-collar,married,0,154,1,0
126613,South,Florida,Miami,management,single,0,560,0,0
126697,East,Massachusetts,Boston,technician,single,0,5637,1,0
126774,West,California,Los Angeles,retired,married,0,29340,0,0
126809,West,California,San Diego,housemaid,married,0,0,0,0
126844,West,Oregon,West Linn,blue-collar,single,0,129,1,1
126865,Central,Illinois,Chicago,management,married,0,3864,1,0
126893,West,Montana,Kalispell,management,single,0,1696,1,0
126935,South,Florida,Tampa,management,single,0,515,0,0
126956,West,California,Los Angeles,services,married,0,4216,0,0
127012,East,New York,New York City,blue-collar,married,0,4227,1,0
127019,Central,Texas,Carrollton,student,single,0,215,0,0
127026,East,New York,Holbrook,retired,divorced,0,5583,1,0
127040,East,New Jersey,Avenel,management,single,0,2489,0,0
127110,East,New York,New York City,retired,married,0,1533,0,0
127131,East,New York,New York City,management,single,0,390,0,0
127159,East,New York,New York City,management,divorced,0,2240,0,0
127180,West,California,Manhattan Beach,blue-collar,married,0,1946,0,0
127187,Central,Minnesota,Brooklyn Center,admin.,divorced,0,661,1,0
127208,West,California,Los Angeles,services,married,0,210,1,0
127250,West,California,San Diego,housemaid,married,0,100,0,0
127285,East,New York,New York City,retired,married,0,426,0,0
127369,Central,Texas,Houston,management,married,0,536,1,0
127418,West,Washington,Seattle,technician,married,0,482,0,0
127432,West,California,Los Angeles,retired,divorced,0,927,0,0
127446,West,California,Los Gatos,services,single,0,84,0,1
127453,East,Massachusetts,Boston,management,married,0,2306,0,0
127460,East,Ohio,Mount Vernon,management,married,0,346,0,0
127488,South,North Carolina,Charlotte,student,single,0,1747,1,0
127509,Central,Illinois,Chicago,services,married,0,881,0,0
127586,Central,Illinois,Tinley Park,admin.,married,0,4629,1,0
127621,West,Utah,Provo,student,single,0,78,0,0
127670,Central,Texas,Dallas,services,single,0,1347,0,0
127691,Central,Michigan,Detroit,technician,single,0,410,1,0
127705,West,Washington,Seattle,services,single,0,0,0,1
127719,East,Massachusetts,Boston,management,single,0,874,1,0
127775,Central,Texas,Carrollton,management,single,0,2069,0,0
127929,West,Arizona,Scottsdale,retired,married,0,1044,0,0
127964,East,New York,New York City,retired,married,0,0,0,0
128027,East,New York,Valley Stream,admin.,married,0,8781,1,0
128055,East,New York,East Meadow,technician,single,0,409,1,0
128090,Central,Wisconsin,Watertown,services,single,0,6983,0,0
128111,South,Alabama,Madison,retired,divorced,0,3417,0,0
128139,South,North Carolina,Charlotte,retired,divorced,0,1490,0,0
128146,West,California,San Francisco,technician,divorced,0,1612,0,0
128160,South,Florida,Miami,technician,married,0,235,0,0
128167,East,Massachusetts,Boston,management,single,0,1750,1,0
128195,East,Massachusetts,Westford,retired,married,0,5313,0,0
128258,East,New York,New York City,admin.,single,0,27,0,0
128293,Central,Kansas,Garden City,student,single,0,486,0,0
128300,West,California,Manhattan Beach,blue-collar,single,0,1857,1,0
128370,East,Pennsylvania,Philadelphia,management,single,0,1411,0,0
128412,South,North Carolina,Greensboro,blue-collar,married,0,640,1,0
128475,Central,Minnesota,Burnsville,management,married,0,-17,1,1
128517,West,Idaho,Lewiston,technician,divorced,0,568,1,0
128531,East,New York,New York City,services,single,0,-195,1,0
128594,Central,Kansas,Lawrence,technician,single,0,113,0,0
128629,Central,Iowa,West Des Moines,management,married,0,15,0,0
128727,West,California,Los Angeles,admin.,married,0,1229,0,0
128755,East,New York,Utica,admin.,married,0,274,1,0
128818,South,North Carolina,Garner,management,married,0,253,0,0
128860,South,North Carolina,Greenville,management,divorced,0,5701,0,0
128867,South,Georgia,Atlanta,blue-collar,married,0,3109,0,0
128888,Central,Michigan,Canton,services,single,0,1227,1,1
128902,East,New York,New York City,admin.,married,0,238,0,0
128923,Central,Illinois,Chicago,services,divorced,0,44,0,1
128986,East,Ohio,Hilliard,unemployed,married,0,970,1,0
129091,East,New Hampshire,Merrimack,student,single,0,196,0,0
129098,West,California,Los Angeles,housemaid,married,0,2524,0,0
129112,Central,Illinois,Chicago,student,single,0,620,0,0
129168,Central,Illinois,Highland Park,technician,single,0,4071,0,0
129378,South,North Carolina,Goldsboro,technician,single,0,102,0,1
129441,East,Massachusetts,Boston,self-employed,single,0,1081,0,0
129462,East,New York,New York City,student,single,0,2351,0,0
129469,South,Tennessee,Cleveland,unemployed,married,0,7005,1,0
129476,East,Massachusetts,Boston,entrepreneur,married,0,2331,0,0
129567,East,New York,New York City,management,married,0,0,1,0
129574,Central,Texas,Carrollton,management,married,0,2228,1,0
129686,East,New York,New York City,housemaid,married,0,0,1,0
129693,Central,Illinois,Highland Park,technician,married,0,0,1,0
129714,South,Florida,Miami,services,single,0,1168,1,0
129770,South,Georgia,Columbus,management,divorced,0,644,1,0
129805,East,New York,Utica,retired,married,0,243,0,0
129833,West,California,San Diego,blue-collar,married,0,101,1,0
129854,South,North Carolina,Greensboro,management,single,0,224,0,0
129903,West,California,Los Angeles,management,married,0,1514,0,0
129924,East,Massachusetts,Boston,technician,married,0,480,0,0
130001,East,District of Columbia,Washington,retired,married,0,4787,0,0
130022,West,Washington,Seattle,technician,single,0,149,1,0
130043,Central,Illinois,Chicago,management,single,0,0,0,0
130092,West,California,Los Angeles,blue-collar,single,0,1628,1,0
130162,Central,Illinois,Chicago,management,single,0,2531,0,0
130204,West,California,Los Angeles,blue-collar,married,0,249,1,0
130267,West,Washington,Elk Plain,management,single,0,681,0,0
130274,Central,Texas,Houston,admin.,married,0,949,0,0
