CustomerID,Region,State,City,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan
132976,W,California,Los Angeles,self-employed,single,terto,0,42,1,0
133025,C,Michigan,Detroit,admin.,married,secondary,0,139,0,0
133123,E,New York,Holbrook,services,married,secondary,0,775,0,0
133235,C,Illinois,Chicago,retired,married,secondary,0,938,0,0
133249,S,Florida,Miami,blue-collar,single,secondary,0,0,0,0
133256,W,California,Los Angeles,retired,married,secondary,0,1495,0,0
133270,E,Pennsylvania,Philadelphia,technician,married,terto,0,2643,0,0
133333,W,California,Los Angeles,technician,single,secondary,0,909,0,1
133431,S,Georgia,Atlanta,retired,married,secondary,0,-1206,1,0
133452,C,Illinois,Hoffman Estates,admin.,married,secondary,0,755,1,0
133627,W,California,Los Angeles,management,married,terto,0,802,0,0
133641,E,Pennsylvania,Philadelphia,admin.,divorced,secondary,0,437,1,0
133648,S,Georgia,Atlanta,unemployed,single,primary,0,9,0,1
133690,E,District of Columbia,Washington,unemployed,single,secondary,0,582,1,0
133711,E,New York,New York City,student,single,NA,0,108,0,0
133725,S,Florida,Miami,admin.,married,terto,0,0,0,0
133753,C,Illinois,Chicago,blue-collar,single,secondary,0,535,0,0
133781,W,Oregon,Troutdale,management,married,secondary,0,215,0,0
133851,E,New York,New York City,unemployed,married,terto,0,576,0,0
133879,E,Massachusetts,Lynn,management,divorced,terto,0,-42,1,0
134026,W,Washington,Seattle,admin.,single,secondary,0,716,1,0
134061,C,Illinois,Chicago,admin.,single,secondary,0,315,1,0
134173,S,Virginia,Rose Hill,self-employed,divorced,primary,0,351,1,0
134208,E,Massachusetts,Boston,unemployed,married,primary,0,324,0,0
134278,W,Washington,Seattle,technician,single,secondary,0,4136,1,0
134306,E,New York,New York City,blue-collar,divorced,secondary,0,10613,0,1
134313,W,Washington,Seattle,retired,married,terto,0,653,0,0
134348,E,Pennsylvania,Philadelphia,services,married,secondary,0,114,0,1
134362,S,Florida,Miami,admin.,divorced,secondary,0,363,1,0
134376,S,North Carolina,Sanford,services,married,secondary,0,1076,0,0
134404,W,California,Los Altos,unemployed,married,terto,0,0,0,0
134425,C,Illinois,Chicago,blue-collar,married,primary,0,414,0,0
134474,S,Florida,Miami,services,single,terto,0,1140,1,0
134481,E,District of Columbia,Washington,management,married,NA,0,448,0,0
134488,W,California,Los Angeles,services,single,secondary,0,488,0,0
