sales_id,ad_placed_on,sold_on,original_selling_price,Region,State,City,seller_type,owner,car_id
643,22-01-2017 11:15,31-01-2017 19:43,229999,South,Florida,Miami,Individual,First Owner,124119
644,22-01-2017 12:21,02-02-2017 16:09,270000,East,New York,New York City,Individual,First Owner,124120
645,22-01-2017 13:04,01-02-2017 00:52,135000,East,New York,New York City,Individual,Second Owner,124121
646,22-01-2017 13:14,30-01-2017 17:05,275000,East,New York,New York City,Individual,First Owner,124122
647,22-01-2017 13:27,27-01-2017 10:24,2625000,East,New York,New York City,Dealer,First Owner,124123
648,22-01-2017 13:49,30-01-2017 10:44,5150000,East,New York,New York City,Dealer,First Owner,124124
649,22-01-2017 14:09,30-01-2017 12:37,3200000,East,New York,New York City,Dealer,First Owner,124125
650,22-01-2017 14:13,27-01-2017 12:34,503000,West,California,Los Angeles,Individual,First Owner,124126
651,22-01-2017 15:41,03-02-2017 14:22,3800000,Central,Illinois,Chicago,Individual,First Owner,124127
652,22-01-2017 16:03,01-02-2017 12:32,2000000,West,Washington,Seattle,Trustmark Dealer,First Owner,124128
653,22-01-2017 16:10,30-01-2017 15:06,225000,West,Washington,Seattle,Trustmark Dealer,First Owner,124129
654,22-01-2017 17:02,30-01-2017 19:12,740000,East,New York,New York City,Dealer,First Owner,124130
655,22-01-2017 17:11,30-01-2017 17:34,550000,West,Washington,Seattle,Trustmark Dealer,First Owner,124131
656,22-01-2017 17:27,30-01-2017 13:24,750000,West,California,Los Angeles,Trustmark Dealer,Second Owner,124132
657,22-01-2017 17:43,28-01-2017 06:06,650000,West,California,Los Angeles,Trustmark Dealer,First Owner,124133
658,22-01-2017 17:43,06-02-2017 14:37,625000,East,New York,New York City,Trustmark Dealer,First Owner,124134
659,22-01-2017 18:02,10-02-2017 09:32,600000,East,New York,New York City,Dealer,First Owner,124135
660,22-01-2017 18:30,01-02-2017 11:47,450000,South,Florida,Miami,Dealer,First Owner,124136
661,22-01-2017 20:25,28-01-2017 04:04,5400000,Central,Illinois,Chicago,Dealer,First Owner,124137
662,22-01-2017 20:43,,5500000,West,California,San Francisco,Dealer,First Owner,124138
663,22-01-2017 20:54,03-02-2017 15:52,779000,West,California,Los Angeles,Trustmark Dealer,First Owner,124139
664,22-01-2017 21:25,28-01-2017 10:58,645000,East,District of Columbia,Washington,Dealer,First Owner,124140
665,22-01-2017 21:42,03-02-2017 13:25,2475000,East,District of Columbia,Washington,Dealer,First Owner,124141
666,22-01-2017 21:50,02-02-2017 12:34,634000,Central,Illinois,Chicago,Individual,First Owner,124142
667,22-01-2017 21:56,26-01-2017 14:23,235000,East,New York,New York City,Individual,Second Owner,124143
668,22-01-2017 22:15,03-02-2017 10:11,275000,East,District of Columbia,Washington,Individual,Third Owner,124144
669,22-01-2017 22:54,28-01-2017 10:04,700000,East,New York,New York City,Individual,Second Owner,124145
670,22-01-2017 23:07,01-02-2017 21:23,400000,South,Florida,Miami,Individual,First Owner,124146
671,22-01-2017 23:08,26-01-2017 13:51,215000,South,Florida,Miami,Individual,Third Owner,124147
672,23-01-2017 00:53,,150000,West,California,Los Angeles,Individual,Second Owner,124148
673,23-01-2017 00:55,04-02-2017 08:27,950000,West,California,Los Angeles,Individual,First Owner,124149
674,23-01-2017 01:22,27-01-2017 08:53,730000,West,California,Los Angeles,Individual,First Owner,124150
675,23-01-2017 02:38,04-03-2017 07:23,135000,Central,Illinois,Chicago,Individual,Second Owner,124151
676,23-01-2017 02:54,,350000,Central,Illinois,Chicago,Individual,Second Owner,124152
677,23-01-2017 07:03,31-01-2017 11:12,535000,East,New York,New York City,Individual,Second Owner,124153
678,23-01-2017 07:23,02-02-2017 09:17,455000,West,California,Los Angeles,Individual,Second Owner,124154
