sales_id,ad_placed_on,sold_on,original_selling_price,Region,State,City,seller_type,owner,car_id
1956,10-02-2017 20:22,20-03-2017 09:37,225000,Central,Wisconsin,Sun Prairie,Individual,First Owner,125432
1959,10-02-2017 20:24,21-02-2017 14:51,860000,Central,Indiana,Munster,Individual,First Owner,125435
1960,10-02-2017 20:48,21-02-2017 14:18,650000,Central,Texas,Odessa,Individual,First Owner,125436
1961,10-02-2017 21:12,21-02-2017 18:21,650000,Central,Indiana,Munster,Individual,First Owner,125437
1962,10-02-2017 21:37,03-03-2017 16:04,710000,Central,Indiana,Munster,Individual,First Owner,125438
1963,10-02-2017 21:56,01-03-2017 10:49,430000,South,Kentucky,Henderson,Individual,First Owner,125439
1964,10-02-2017 22:12,17-02-2017 08:16,305000,South,Kentucky,Henderson,Individual,Second Owner,125440
1965,10-02-2017 22:30,07-04-2017 14:44,220000,South,Kentucky,Henderson,Individual,First Owner,125441
1966,10-02-2017 23:23,24-02-2017 17:09,150000,South,Kentucky,Henderson,Individual,Third Owner,125442
1967,11-02-2017 08:28,17-02-2017 11:22,660000,South,Kentucky,Henderson,Individual,Second Owner,125443
1968,11-02-2017 10:11,17-02-2017 07:36,140000,South,Kentucky,Hopkinsville,Individual,Fourth & Above Owner,125444
1969,11-02-2017 10:36,,1100000,South,Kentucky,Hopkinsville,Individual,First Owner,125445
1970,11-02-2017 10:40,22-02-2017 15:51,2450000,South,Kentucky,Hopkinsville,Individual,First Owner,125446
1971,11-02-2017 10:42,16-02-2017 07:08,625000,South,Kentucky,Hopkinsville,Individual,First Owner,125447
1972,11-02-2017 10:53,24-02-2017 10:37,198000,East,New York,Ossining,Individual,Third Owner,125448
1974,11-02-2017 10:56,16-02-2017 14:08,130000,East,New York,Ossining,Individual,Second Owner,125450
1975,11-02-2017 11:59,02-03-2017 15:34,540000,East,New York,Oceanside,Individual,Second Owner,125451
1976,11-02-2017 12:25,24-02-2017 12:47,550000,East,New York,Oceanside,Individual,First Owner,125452
1977,11-02-2017 12:42,08-03-2017 09:13,475000,East,New York,Plainview,Individual,First Owner,125453
1978,11-02-2017 12:54,02-03-2017 07:54,2825000,East,New York,Ossining,Dealer,First Owner,125454
1979,11-02-2017 13:15,24-02-2017 16:19,2125000,East,New York,Ossining,Dealer,First Owner,125455
1980,11-02-2017 13:33,01-03-2017 13:50,3350000,Central,Indiana,Michigan City,Dealer,First Owner,125456
1981,11-02-2017 13:39,20-02-2017 11:22,1800000,Central,Indiana,Merrillville,Dealer,First Owner,125457
1982,11-02-2017 13:41,09-03-2017 20:26,540000,Central,Indiana,Michigan City,Dealer,First Owner,125458
1983,11-02-2017 14:45,13-03-2017 18:35,910000,Central,Indiana,Merrillville,Dealer,First Owner,125459
1984,11-02-2017 15:10,23-02-2017 18:38,484999,Central,Indiana,Michigan City,Dealer,First Owner,125460
1985,11-02-2017 15:12,17-02-2017 10:35,1950000,Central,Indiana,Michigan City,Dealer,First Owner,125461
1986,11-02-2017 16:11,24-02-2017 09:33,950000,West,Oregon,Aloha,Dealer,First Owner,125462
1987,11-02-2017 16:42,17-02-2017 09:15,365000,West,Oregon,Aloha,Dealer,First Owner,125463
1988,11-02-2017 16:52,17-02-2017 10:05,900000,West,Oregon,Aloha,Dealer,First Owner,125464
1989,11-02-2017 16:59,21-02-2017 14:52,919999,West,Oregon,Beaverton,Dealer,First Owner,125465
1990,11-02-2017 17:06,25-02-2017 02:38,1900000,West,Oregon,Aloha,Dealer,First Owner,125466
1991,11-02-2017 17:23,24-02-2017 06:52,2950000,West,Oregon,Aloha,Dealer,First Owner,125467
1992,11-02-2017 17:32,,1075000,West,Oregon,Beaverton,Dealer,First Owner,125468
1993,11-02-2017 18:00,20-02-2017 07:14,600000,West,Oregon,Albany,Dealer,First Owner,125469
1994,11-02-2017 18:05,21-02-2017 16:52,3200000,West,Oregon,Beaverton,Dealer,First Owner,125470
1995,11-02-2017 18:10,04-03-2017 04:42,2600000,West,Oregon,Aloha,Dealer,First Owner,125471
1996,11-02-2017 18:33,23-02-2017 09:07,839000,West,Oregon,Albany,Dealer,First Owner,125472
1997,11-02-2017 18:42,21-02-2017 11:04,635000,West,Oregon,Beaverton,Dealer,First Owner,125473
1998,11-02-2017 19:23,22-02-2017 14:43,550000,West,Oregon,Bend,Individual,Third Owner,125474
1999,11-02-2017 19:26,,180000,West,Oregon,Bend,Individual,Third Owner,125475
2000,11-02-2017 19:26,20-02-2017 16:22,650000,East,Maine,Gorham,Individual,First Owner,125476
2001,11-02-2017 19:40,21-02-2017 12:53,350000,East,Massachusetts,Wellesley,Individual,Second Owner,125477
2002,11-02-2017 19:58,25-02-2017 09:21,265000,East,Massachusetts,Watertown,Individual,First Owner,125478
2003,11-02-2017 20:02,24-03-2017 15:03,330000,East,New Jersey,Scotch Plains,Individual,First Owner,125479
2004,11-02-2017 20:33,21-02-2017 10:17,395000,East,New Jersey,Phillipsburg,Individual,First Owner,125480
2005,11-02-2017 20:41,02-03-2017 15:15,700000,South,Florida,Port Saint Lucie,Individual,First Owner,125481
2006,11-02-2017 20:48,30-03-2017 13:30,300000,South,Florida,Port Orange,Individual,First Owner,125482
2007,11-02-2017 21:39,,650000,South,Florida,Ponte Vedra Beach,Individual,First Owner,125483
2008,11-02-2017 21:54,21-02-2017 10:11,625000,South,Florida,Ponte Vedra Beach,Individual,Third Owner,125484
2009,11-02-2017 22:03,23-02-2017 13:49,425000,South,Florida,Ponte Vedra Beach,Individual,Second Owner,125485
2010,11-02-2017 22:10,25-02-2017 04:47,55000,South,Florida,Port Charlotte,Individual,Third Owner,125486
2011,11-02-2017 22:14,21-02-2017 12:24,250000,South,Florida,Ponte Vedra Beach,Individual,Second Owner,125487
2012,11-02-2017 22:44,24-02-2017 02:46,459999,South,Florida,Ponte Vedra Beach,Individual,First Owner,125488
2013,11-02-2017 22:45,17-03-2017 12:08,1594000,South,Florida,Ponte Vedra Beach,Individual,First Owner,125489
2014,11-02-2017 22:47,23-02-2017 18:20,300000,South,Florida,Port Orange,Individual,First Owner,125490
2015,11-02-2017 23:00,03-03-2017 02:09,950000,South,Florida,Ponte Vedra Beach,Dealer,First Owner,125491
2016,11-02-2017 23:23,16-02-2017 15:28,484999,South,Florida,Port Charlotte,Individual,First Owner,125492
2017,12-02-2017 00:02,,161000,South,Florida,Port Charlotte,Individual,Third Owner,125493
2018,12-02-2017 00:20,08-03-2017 22:23,500000,South,Florida,Pompano Beach,Individual,First Owner,125494
2019,12-02-2017 00:31,24-02-2017 11:35,350000,South,Florida,Poinciana,Individual,First Owner,125495
2020,12-02-2017 01:27,17-02-2017 10:37,550000,South,Florida,Pompano Beach,Individual,First Owner,125496
2021,12-02-2017 09:04,14-02-2017 15:08,850000,South,Florida,Port Orange,Individual,First Owner,125497
2022,12-02-2017 09:21,01-03-2017 08:35,240000,South,Florida,Poinciana,Individual,First Owner,125498
2023,12-02-2017 09:25,20-02-2017 16:21,950000,South,Florida,Port Charlotte,Individual,First Owner,125499
2024,12-02-2017 09:31,25-02-2017 10:02,423000,South,Florida,Port Charlotte,Individual,Second Owner,125500
2025,12-02-2017 09:32,21-02-2017 16:35,90000,South,Florida,Port Charlotte,Individual,Second Owner,125501
2026,12-02-2017 10:01,22-02-2017 11:03,350000,East,Ohio,Lima,Individual,Second Owner,125502
2027,12-02-2017 10:27,14-03-2017 14:17,170000,East,Ohio,Lorain,Individual,Third Owner,125503
2028,12-02-2017 12:12,20-02-2017 11:22,450000,East,Ohio,Lorain,Individual,First Owner,125504
2029,12-02-2017 12:30,20-02-2017 12:29,150000,East,Ohio,Mansfield,Individual,Second Owner,125505
2031,12-02-2017 12:32,17-02-2017 15:12,511000,East,Ohio,Lima,Individual,First Owner,125507
2032,12-02-2017 12:38,20-02-2017 12:12,850000,East,Ohio,Mansfield,Individual,First Owner,125508
2033,12-02-2017 12:39,20-02-2017 09:38,250000,East,Ohio,Lorain,Individual,First Owner,125509
2034,12-02-2017 13:12,23-02-2017 10:51,420000,East,Ohio,Mansfield,Individual,First Owner,125510
2035,12-02-2017 13:41,,180000,South,Tennessee,Germantown,Individual,First Owner,125511
2036,12-02-2017 14:11,01-03-2017 11:26,400000,South,Tennessee,Hendersonville,Individual,First Owner,125512
2037,12-02-2017 14:14,08-03-2017 11:57,150000,South,Tennessee,Hendersonville,Individual,First Owner,125513
2038,12-02-2017 14:18,01-03-2017 12:44,500000,South,Tennessee,Hendersonville,Individual,First Owner,125514
2039,12-02-2017 14:23,20-02-2017 14:03,1689999,South,Tennessee,Gallatin,Individual,First Owner,125515
2040,12-02-2017 14:25,21-02-2017 17:17,204999,South,Tennessee,Hendersonville,Individual,First Owner,125516
2041,12-02-2017 14:42,22-02-2017 16:39,459999,South,Tennessee,Gallatin,Individual,Second Owner,125517
2042,12-02-2017 15:08,07-03-2017 17:35,600000,South,Tennessee,Gallatin,Individual,First Owner,125518
2043,12-02-2017 15:12,22-02-2017 14:21,585000,South,Tennessee,Gallatin,Individual,First Owner,125519
2044,12-02-2017 15:12,20-02-2017 12:14,551000,South,Tennessee,Gallatin,Individual,First Owner,125520
2045,12-02-2017 15:45,03-03-2017 19:25,525000,South,Tennessee,Gallatin,Individual,First Owner,125521
2046,12-02-2017 15:53,03-03-2017 09:28,160000,South,Tennessee,Germantown,Individual,First Owner,125522
2047,12-02-2017 16:03,02-03-2017 12:05,825000,South,Tennessee,Gallatin,Individual,First Owner,125523
2049,12-02-2017 16:41,15-02-2017 09:42,600000,South,Tennessee,Germantown,Individual,Second Owner,125525
2050,12-02-2017 16:41,24-02-2017 11:05,65000,South,Tennessee,Germantown,Individual,Second Owner,125526
2051,12-02-2017 17:11,09-03-2017 08:51,550000,Central,Illinois,Joliet,Individual,First Owner,125527
2052,12-02-2017 17:28,21-02-2017 13:17,650000,Central,Illinois,Joliet,Individual,First Owner,125528
2053,12-02-2017 18:12,24-02-2017 14:37,750000,Central,Illinois,Joliet,Individual,First Owner,125529
2054,12-02-2017 18:14,20-02-2017 13:15,380000,Central,Illinois,Joliet,Individual,First Owner,125530
2055,12-02-2017 18:37,22-02-2017 06:43,400000,Central,Illinois,Joliet,Individual,First Owner,125531
2056,12-02-2017 18:43,14-03-2017 16:34,50000,Central,Illinois,Kankakee,Individual,Fourth & Above Owner,125532
2057,12-02-2017 18:46,22-02-2017 10:13,750000,Central,Illinois,Joliet,Individual,First Owner,125533
2058,12-02-2017 18:48,01-03-2017 14:09,150000,West,Utah,Layton,Individual,First Owner,125534
2059,12-02-2017 19:08,13-04-2017 08:29,245000,West,Utah,Layton,Individual,First Owner,125535
2060,12-02-2017 19:15,21-02-2017 14:42,260000,West,Utah,Kearns,Individual,First Owner,125536
2061,12-02-2017 19:40,17-02-2017 06:52,411000,West,Utah,Layton,Individual,Second Owner,125537
2062,12-02-2017 19:48,21-02-2017 13:56,450000,West,Utah,Layton,Individual,First Owner,125538
2063,12-02-2017 20:05,,1300000,West,Utah,Layton,Individual,Second Owner,125539
2064,12-02-2017 20:17,24-02-2017 09:47,351000,West,Utah,Kearns,Individual,First Owner,125540
2065,12-02-2017 20:37,23-02-2017 11:28,550000,West,Utah,Kearns,Individual,First Owner,125541
2066,12-02-2017 20:37,03-03-2017 14:23,1300000,West,Utah,Kearns,Individual,Second Owner,125542
2067,12-02-2017 20:42,01-03-2017 10:05,260000,West,Utah,Kearns,Individual,First Owner,125543
2068,12-02-2017 20:51,23-02-2017 16:28,411000,Central,Wisconsin,Madison,Individual,Second Owner,125544
2069,12-02-2017 21:09,16-02-2017 04:47,450000,Central,Wisconsin,Kenosha,Individual,First Owner,125545
2070,12-02-2017 21:19,22-02-2017 15:52,1300000,Central,Wisconsin,Madison,Individual,Second Owner,125546
2071,12-02-2017 21:24,02-03-2017 09:45,351000,Central,Wisconsin,Madison,Individual,First Owner,125547
2072,12-02-2017 21:40,15-02-2017 13:22,550000,Central,Wisconsin,Madison,Individual,First Owner,125548
2073,12-02-2017 21:41,15-02-2017 17:22,1300000,Central,Wisconsin,Madison,Individual,Second Owner,125549
2074,12-02-2017 21:41,21-02-2017 12:21,750000,Central,Wisconsin,Manitowoc,Individual,First Owner,125550
2075,12-02-2017 21:47,16-02-2017 14:54,800000,Central,Wisconsin,Madison,Individual,First Owner,125551
2076,12-02-2017 21:48,16-02-2017 17:53,350000,Central,Wisconsin,La Crosse,Individual,First Owner,125552
2077,12-02-2017 21:50,23-02-2017 16:22,200000,Central,Wisconsin,La Crosse,Individual,First Owner,125553
2078,12-02-2017 22:05,22-02-2017 10:45,150000,Central,Wisconsin,La Crosse,Individual,Third Owner,125554
2079,12-02-2017 22:08,17-02-2017 09:47,800000,Central,Wisconsin,Madison,Individual,First Owner,125555
2080,12-02-2017 22:20,21-02-2017 15:43,350000,Central,Wisconsin,La Crosse,Individual,Second Owner,125556
2081,12-02-2017 22:37,16-02-2017 20:32,350000,Central,Wisconsin,Kenosha,Individual,First Owner,125557
2082,12-02-2017 22:51,01-03-2017 11:07,250000,Central,Wisconsin,La Crosse,Individual,First Owner,125558
2083,13-02-2017 00:03,06-03-2017 13:04,170000,South,Kentucky,Danville,Individual,Second Owner,125559
2084,13-02-2017 00:12,07-03-2017 09:54,395000,West,Colorado,Aurora,Individual,First Owner,125560
2085,13-02-2017 00:18,22-02-2017 13:57,450000,West,Colorado,Aurora,Individual,First Owner,125561
2086,13-02-2017 00:27,08-03-2017 12:27,500000,West,Colorado,Boulder,Individual,First Owner,125562
2087,13-02-2017 00:28,07-03-2017 07:00,200000,South,Kentucky,Danville,Individual,First Owner,125563
2088,13-02-2017 02:45,02-03-2017 12:42,1200000,South,Kentucky,Danville,Individual,First Owner,125564
2089,13-02-2017 03:48,22-02-2017 16:38,400000,West,Colorado,Aurora,Individual,First Owner,125565
2090,13-02-2017 06:02,20-02-2017 18:05,650000,South,Kentucky,Danville,Individual,First Owner,125566
2091,13-02-2017 07:17,21-02-2017 12:47,550000,West,Colorado,Aurora,Individual,First Owner,125567
2092,13-02-2017 07:34,25-02-2017 08:37,1100000,West,Colorado,Aurora,Individual,First Owner,125568
2093,13-02-2017 08:10,20-02-2017 12:53,254999,West,Colorado,Aurora,Individual,First Owner,125569
2094,13-02-2017 09:12,22-02-2017 08:07,180000,East,Ohio,Sandusky,Individual,First Owner,125570
2095,13-02-2017 09:22,22-02-2017 15:03,160000,Central,North Dakota,Dickinson,Individual,Second Owner,125571
2096,13-02-2017 09:32,24-02-2017 08:53,225000,East,Ohio,Sandusky,Individual,Second Owner,125572
2097,13-02-2017 09:35,01-03-2017 11:37,270000,Central,North Dakota,Dickinson,Individual,Second Owner,125573
2098,13-02-2017 10:06,23-02-2017 16:09,310000,Central,North Dakota,Dickinson,Individual,First Owner,125574
2099,13-02-2017 10:18,24-02-2017 23:15,225000,Central,North Dakota,Dickinson,Individual,First Owner,125575
2100,13-02-2017 10:20,23-02-2017 11:11,300000,East,Ohio,Sandusky,Individual,Third Owner,125576
2101,13-02-2017 10:26,17-02-2017 11:34,250000,East,Ohio,Sandusky,Individual,Fourth & Above Owner,125577
2102,13-02-2017 10:55,21-02-2017 15:03,180000,East,Ohio,Sandusky,Individual,First Owner,125578
2103,13-02-2017 11:10,15-02-2017 16:43,550000,East,Ohio,Springfield,Individual,First Owner,125579
2104,13-02-2017 11:10,23-03-2017 17:08,300000,East,Ohio,Springfield,Individual,Third Owner,125580
2105,13-02-2017 11:31,15-02-2017 16:14,900000,East,Ohio,Sandusky,Individual,First Owner,125581
2107,13-02-2017 11:50,03-03-2017 10:17,1530000,East,Ohio,Springfield,Individual,First Owner,125583
2108,13-02-2017 11:52,21-02-2017 16:52,590000,East,Ohio,Springfield,Individual,First Owner,125584
2109,13-02-2017 12:10,21-02-2017 13:53,170000,East,Ohio,Sandusky,Individual,Second Owner,125585
2110,13-02-2017 13:00,06-03-2017 10:36,2600000,Central,Illinois,Pekin,Individual,First Owner,125586
2111,13-02-2017 13:23,22-02-2017 08:13,475000,Central,Illinois,Pekin,Individual,First Owner,125587
