car_id,name,km_driven,fuel,transmission,mileage,engine,max_power,torque,seats,model
123477,Maruti Swift Dzire VDI,145500,Diesel,Manual,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,Maruti
123478,Skoda Rapid 1.5 TDI Ambition,120000,Diesel,Manual,21.14 kmpl,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm,5,Skoda
123479,Honda City 2017-2020 EXi,140000,Petrol,Manual,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5,Honda
123480,Hyundai i20 Sportz Diesel,127000,Diesel,Manual,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,Hyundai
123481,Maruti Swift VXI BSIII,120000,Petrol,Manual,16.1 kmpl,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5,Maruti
123482,Hyundai Xcent 1.2 VTVT E Plus,45000,Petrol,Manual,20.14 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5,Hyundai
123483,Maruti Wagon R LXI DUO BSIII,175000,LPG,Manual,17.3 km/kg,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5,Maruti
123484,Maruti 800 DX BSII,5000,Petrol,Manual,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,Maruti
123485,Toyota Etios VXD,90000,Diesel,Manual,23.59 kmpl,1364 CC,67.1 bhp,170Nm@ 1800-2400rpm,5,Toyota
123486,Ford Figo Diesel Celebration Edition,169000,Diesel,Manual,20.0 kmpl,1399 CC,68.1 bhp,160Nm@ 2000rpm,5,Ford
123487,Renault Duster 110PS Diesel RxL,68000,Diesel,Manual,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5,Renault
123488,Maruti Zen LX,100000,Petrol,Manual,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5,Maruti
123489,Maruti Swift Dzire VDi,140000,Diesel,Manual,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,Maruti
123491,Maruti Wagon R LXI Minor,90000,Petrol,Manual,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5,Maruti
123492,Mahindra KUV 100 mFALCON G80 K8 5str,40000,Petrol,Manual,18.15 kmpl,1198 CC,82 bhp,115Nm@ 3500-3600rpm,5,Mahindra
123493,Maruti Ertiga SHVS VDI,70000,Diesel,Manual,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7,Maruti
123494,Hyundai i20 1.4 CRDi Asta,53000,Diesel,Manual,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,Hyundai
123495,Maruti Alto LX,80000,Petrol,Manual,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,Maruti
123496,Hyundai i20 2015-2017 Asta 1.4 CRDi,100000,Diesel,Manual,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,Hyundai
123497,Mahindra Verito 1.5 D4 BSIII,100000,Diesel,Manual,21.0 kmpl,1461 CC,64.1 bhp,160Nm@ 2000rpm,5,Mahindra
123498,Honda WR-V i-DTEC VX,50000,Diesel,Manual,25.5 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,Honda
123499,Maruti Swift Dzire ZDI,40000,Diesel,Manual,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,Maruti
123500,Maruti SX4 ZDI,72000,Diesel,Manual,21.5 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,5,Maruti
123501,Tata Tigor 2017-2020 XZ,35000,Petrol,Manual,20.3 kmpl,1199 CC,83.81 bhp,114Nm@ 3500rpm,5,Tata
123502,Maruti Baleno Delta 1.2,45000,Petrol,Manual,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,Maruti
123503,Maruti Alto 800 LXI,28000,Petrol,Manual,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,Maruti
123504,Chevrolet Enjoy TCDi LTZ 7 Seater,70000,Diesel,Manual,18.2 kmpl,1248 CC,73.8 bhp,172.5Nm@ 1750rpm,7,Chevrolet
123505,Maruti Wagon R LXI Minor,120000,Petrol,Manual,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5,Maruti
123506,Maruti Omni E MPI STD BS IV,25000,Petrol,Manual,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm,8,Maruti
123507,Maruti Vitara Brezza LDi Option,70000,Diesel,Manual,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,Maruti
123509,Maruti Omni 8 Seater BSIV,35000,Petrol,Manual,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5,Maruti
123510,Hyundai i20 1.2 Asta Dual Tone,2388,Petrol,Manual,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,Hyundai
123511,Maruti Vitara Brezza LDi,16200,Diesel,Manual,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,Maruti
123512,Maruti Alto 800 CNG LXI Optional,10000,CNG,Manual,33.44 km/kg,796 CC,40.3 bhp,60Nm@ 3500rpm,4,Maruti
123513,Maruti Alto K10 VXI Airbag,15000,Petrol,Manual,23.95 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,Maruti
123514,Hyundai Verna VTVT 1.6 SX Option,5000,Petrol,Manual,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5,Hyundai
123515,Datsun GO D,42000,Petrol,Manual,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5,Datsun
123516,Tata Safari DICOR 2.2 LX 4x2,60000,Diesel,Manual,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7,Tata
123517,Maruti 800 Std,76000,Petrol,Manual,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,Maruti
123518,Jeep Compass 1.4 Limited Plus BSIV,5000,Petrol,Automatic,16.0 kmpl,1368 CC,160.77 bhp,250Nm@ 1750-2500rpm,5,Jeep
123519,Honda City i VTEC VX,28900,Petrol,Manual,17.8 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5,Honda
