CustomerID,Region,State,City,Job,Education,Marital_status,Default,Balance,HHInsurance,CarLoan
141768,South,Georgia,Atlanta,technician,single,secondary,0,598,0,0
141789,West,California,Los Angeles,management,married,tertiary,0,0,0,0
141817,West,California,Los Angeles,technician,married,tertiary,0,0,0,0
141992,South,Florida,Titusville,unemployed,divorced,tertiary,0,756,0,0
142027,East,New York,New York City,admin.,married,secondary,0,920,0,0
142041,Central,Wisconsin,Fitchburg,blue-collar,single,secondary,0,191,1,0
142048,East,Pennsylvania,Philadelphia,technician,single,tertiary,0,208,0,0
142237,Central,Illinois,Highland Park,retired,divorced,secondary,0,704,0,0
142314,West,Washington,Marysville,housemaid,divorced,primary,1,1238,0,0
142335,West,California,Los Angeles,management,married,tertiary,0,2817,0,0
142419,East,New York,Utica,management,single,tertiary,0,811,0,0
142545,West,California,San Diego,admin.,divorced,secondary,0,555,1,1
142587,West,California,Los Angeles,retired,married,tertiary,0,459,0,0
142622,South,Arkansas,North Little Rock,management,married,tertiary,0,792,0,0
142636,Central,Illinois,Chicago,housemaid,single,tertiary,0,19,0,0
142727,East,New York,Deer Park,technician,single,secondary,0,1279,1,0
142755,West,Washington,Seattle,self-employed,single,tertiary,0,-103,1,1
142762,Central,Illinois,Chicago,technician,single,primary,0,11262,0,0
142839,West,California,San Diego,blue-collar,married,primary,0,1673,1,0
142888,East,New York,New York City,unemployed,single,tertiary,0,79,0,0
142902,West,California,Los Angeles,blue-collar,single,secondary,0,535,0,0
142944,South,Arkansas,Paragould,technician,married,primary,0,3376,1,0
142958,Central,Illinois,Chicago,blue-collar,married,secondary,0,1405,0,1
143028,West,Washington,Seattle,admin.,single,secondary,0,265,1,0
143063,South,North Carolina,Greensboro,blue-collar,divorced,primary,0,-9,1,1
143077,East,New York,New York City,services,divorced,secondary,0,0,0,0
143119,East,New York,New York City,admin.,single,secondary,0,895,0,0
143182,Central,Minnesota,Brooklyn Center,retired,married,primary,0,1468,0,0
143231,Central,Oklahoma,Muskogee,blue-collar,married,primary,0,190,1,0
143238,Central,Michigan,Dearborn Heights,self-employed,married,tertiary,0,3698,1,0
143259,South,Florida,Miami,technician,single,tertiary,0,882,0,0
143308,West,Washington,Seattle,retired,divorced,secondary,0,1679,0,0
143329,South,Florida,Hollywood,self-employed,single,tertiary,0,42,1,0
143336,Central,Texas,Houston,blue-collar,married,secondary,0,2039,1,0
143343,West,Arizona,Prescott Valley,management,married,secondary,0,1165,0,0
143413,Central,Minnesota,Burnsville,student,single,secondary,0,459,0,0
143434,Central,Michigan,Battle Creek,management,married,tertiary,0,0,0,0
143455,Central,Texas,Cedar Hill,management,single,tertiary,0,0,1,0
143490,Central,Michigan,Detroit,unemployed,single,tertiary,0,44,0,0
143602,West,California,Los Angeles,management,married,tertiary,0,2333,0,0
143665,Central,Michigan,Ann Arbor,student,single,NA,0,4468,0,0
143686,West,Washington,Seattle,blue-collar,married,primary,0,421,1,0
143798,East,New York,New York City,admin.,married,secondary,0,45,0,0
143819,West,California,Los Angeles,management,married,tertiary,0,474,0,0
143861,Central,Kansas,Kansas City,management,married,tertiary,0,43,1,0
143903,Central,Nebraska,Papillion,services,married,secondary,0,2376,1,0
143917,South,Florida,Tampa,student,single,secondary,0,331,0,0
144064,South,Georgia,Atlanta,retired,married,NA,0,800,0,0
144113,East,New York,New York City,student,single,NA,0,1170,0,0
144211,East,New York,Holbrook,services,single,secondary,0,2615,0,0
144253,East,District of Columbia,Washington,services,married,secondary,0,386,0,0
144267,West,Washington,Seattle,management,married,primary,0,395,1,0
144288,Central,Wisconsin,Watertown,blue-collar,married,primary,0,4108,1,0
144344,East,New York,New York City,retired,divorced,primary,0,6746,0,0
144393,South,North Carolina,Charlotte,retired,divorced,secondary,0,1080,1,0
144407,East,District of Columbia,Washington,technician,divorced,tertiary,0,1807,1,0
144526,East,New York,New York City,retired,married,primary,0,48,0,0
144554,West,Utah,Provo,technician,married,primary,0,0,0,0
144589,Central,Wisconsin,Eau Claire,unemployed,single,primary,1,-4,0,1
144624,South,Florida,Tamarac,services,single,secondary,0,1934,0,0
144638,East,New York,New York City,retired,divorced,tertiary,0,0,0,0
144652,East,New York,New York City,technician,single,tertiary,0,4987,0,0
144666,East,Massachusetts,Boston,blue-collar,married,primary,0,599,1,0
144694,East,New York,New York City,unemployed,single,tertiary,0,993,0,0
144729,Central,Texas,Cedar Hill,blue-collar,single,primary,0,0,0,0
144792,Central,Michigan,Dearborn,blue-collar,divorced,primary,0,-207,0,0
144806,East,Pennsylvania,Philadelphia,management,single,tertiary,0,1618,1,1
144827,Central,Minnesota,Brooklyn Center,technician,single,secondary,0,1435,0,0
144855,West,Washington,Seattle,admin.,married,secondary,0,330,0,0
144862,South,North Carolina,Indian Trail,technician,single,tertiary,0,258,0,0
144904,West,California,Los Angeles,technician,single,tertiary,0,0,1,1
144932,East,New York,New York City,management,married,tertiary,0,3342,0,0
144939,East,District of Columbia,Washington,NA,married,NA,0,558,0,0
145065,East,Maine,Lewiston,services,single,secondary,0,870,0,0
145128,East,New Jersey,Millville,unemployed,married,secondary,0,6,0,0
145142,Central,Texas,Dallas,housemaid,married,secondary,0,38,0,0
145184,West,Utah,Pleasant Grove,blue-collar,married,secondary,0,486,1,0
145212,West,Oregon,Troutdale,technician,single,tertiary,0,178,0,0
145226,West,Washington,Seattle,technician,married,tertiary,0,2643,0,0
145233,South,North Carolina,Charlotte,management,married,tertiary,0,-970,1,0
145247,East,District of Columbia,Washington,technician,married,secondary,0,136,0,0
145310,South,North Carolina,Charlotte,management,married,secondary,0,369,0,0
145317,Central,Minnesota,Brooklyn Park,unemployed,divorced,secondary,0,1694,0,0
145352,East,Pennsylvania,Philadelphia,unemployed,single,primary,0,7724,0,0
145366,East,District of Columbia,Washington,management,single,tertiary,0,87,0,0
145401,Central,Illinois,Chicago,retired,married,primary,0,155,0,0
145436,East,New York,New York City,NA,single,NA,0,942,0,0
145499,East,Pennsylvania,Philadelphia,entrepreneur,single,secondary,0,732,0,0
145576,West,California,Los Angeles,admin.,single,secondary,0,306,1,0
145583,East,District of Columbia,Washington,management,single,tertiary,0,159,0,0
145625,East,District of Columbia,Washington,management,divorced,tertiary,0,-130,1,0
145821,West,California,Los Angeles,unemployed,single,secondary,0,622,0,0
145849,West,Montana,Kalispell,admin.,divorced,secondary,0,19,1,0
145863,Central,Illinois,Chicago,management,single,secondary,0,1088,1,0
145877,Central,Wisconsin,Eau Claire,retired,single,secondary,0,351,1,0
145884,East,New York,New York City,technician,married,secondary,0,806,0,0
145905,East,New York,New York City,student,single,primary,0,1235,0,0
145919,West,California,Los Angeles,technician,married,secondary,0,335,0,0
145926,West,Washington,Edmonds,management,married,tertiary,0,1167,1,1
146024,Central,Texas,Houston,student,single,secondary,0,382,0,0
146031,Central,Minnesota,Blaine,student,single,tertiary,0,64,0,0
146087,East,Pennsylvania,Greensburg,entrepreneur,married,secondary,0,0,0,0
146136,West,Washington,Seattle,services,single,secondary,0,54,1,0
146171,Central,Texas,Carrollton,management,single,tertiary,0,924,0,0
146206,South,South Carolina,Taylors,technician,divorced,secondary,0,3450,0,0
146262,West,California,Los Angeles,management,single,tertiary,0,3041,1,0
146416,East,Maine,Auburn,retired,divorced,primary,0,482,0,0
146521,Central,Illinois,Highland Park,admin.,single,secondary,0,-213,1,1
146563,Central,Illinois,Chicago,blue-collar,single,primary,0,36,1,0
146570,South,North Carolina,Indian Trail,retired,married,primary,0,3629,0,0
146633,West,Montana,Kalispell,blue-collar,single,secondary,0,2093,0,0
146640,East,Massachusetts,Boston,management,divorced,tertiary,0,4692,1,0
146682,East,Ohio,Hilliard,admin.,married,secondary,0,1207,1,0
146703,East,New York,New York City,self-employed,married,secondary,0,4420,1,1
146710,East,District of Columbia,Washington,management,single,tertiary,0,3840,1,0
146724,South,Florida,Hollywood,housemaid,divorced,primary,0,1311,0,0
146780,South,Georgia,Atlanta,unemployed,married,primary,0,519,0,0
146794,South,Florida,Miramar,student,single,secondary,0,329,0,0
146829,South,North Carolina,Charlotte,management,single,tertiary,0,5359,0,0
146934,East,New York,Valley Stream,self-employed,married,tertiary,0,1278,0,0
146941,East,Pennsylvania,Philadelphia,blue-collar,married,secondary,0,184,0,1
146969,East,New York,New York City,admin.,divorced,secondary,0,-41,1,1
147039,West,California,San Diego,retired,married,secondary,0,4112,0,0
147067,East,Pennsylvania,Philadelphia,entrepreneur,married,secondary,0,593,1,1
147221,South,Georgia,Atlanta,student,married,secondary,0,119,1,0
147277,West,Washington,Seattle,blue-collar,married,secondary,0,2913,0,0
147291,West,Utah,Tooele,services,married,secondary,0,471,1,0
147298,West,California,Los Banos,management,married,NA,0,1519,0,0
147361,South,Alabama,Madison,student,single,NA,0,1506,0,0
147368,Central,Kansas,Hutchinson,entrepreneur,married,secondary,0,2971,0,0
147375,East,Massachusetts,Boston,student,single,secondary,0,538,0,0
147417,Central,Illinois,Chicago,blue-collar,single,primary,0,2146,1,0
147564,East,Maine,Gorham,self-employed,single,tertiary,0,2984,1,0
147578,Central,Texas,Dallas,student,single,NA,0,1232,0,0
147585,East,Pennsylvania,Philadelphia,admin.,single,secondary,0,0,1,1
147606,East,District of Columbia,Washington,unemployed,married,primary,0,518,0,0
147627,West,California,Los Angeles,management,divorced,tertiary,0,2885,0,0
147669,Central,Wisconsin,Fitchburg,unemployed,married,primary,0,7005,1,0
147739,Central,Oklahoma,Norman,admin.,single,secondary,0,557,0,0
147788,South,Florida,West Palm Beach,blue-collar,divorced,primary,0,126,1,0
147830,East,Ohio,Hilliard,unemployed,single,primary,0,216,0,0
147851,West,California,Los Angeles,admin.,married,secondary,0,169,0,0
147914,West,California,San Diego,management,single,tertiary,0,3544,1,0
147942,West,California,Los Banos,retired,married,secondary,0,1853,0,0
147956,South,Florida,Titusville,blue-collar,married,secondary,0,272,0,0
147991,Central,Texas,College Station,student,single,tertiary,0,5291,0,0
148040,Central,Kansas,Kansas City,services,single,primary,0,198,0,0
148054,West,Idaho,Lewiston,student,single,tertiary,0,691,0,0
148110,Central,Oklahoma,Bartlesville,admin.,married,secondary,0,149,1,0
148166,East,New York,Albany,unemployed,single,tertiary,0,7968,0,0
148201,West,Washington,Seattle,management,married,tertiary,0,474,0,0
148250,South,Florida,Miami,management,single,tertiary,0,80,0,0
148376,East,Massachusetts,Boston,blue-collar,single,secondary,1,-27,0,0
148432,East,New York,New York City,admin.,single,secondary,0,4448,0,0
148446,West,California,Los Angeles,management,single,tertiary,0,819,1,0
148474,West,California,Los Angeles,management,married,tertiary,0,27696,0,0
148488,East,Massachusetts,Boston,admin.,married,secondary,0,826,0,0
148586,East,New York,Utica,admin.,married,secondary,0,659,1,0
148628,South,Alabama,Madison,student,single,secondary,0,358,0,0
148635,East,Ohio,Hudson,technician,divorced,tertiary,0,674,1,0
