CustomerID,Region,State,City,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan
100006,Central,Minnesota,Brooklyn Park,admin.,married,secondary,0,3025,0,0
100013,West,California,Los Angeles,admin.,single,secondary,0,812,0,1
100048,West,Washington,Seattle,management,married,tertiary,0,12,1,0
100083,South,North Carolina,Charlotte,housemaid,divorced,primary,0,976,0,0
100153,Central,Michigan,Detroit,blue-collar,married,primary,0,408,0,0
100202,East,Maine,Auburn,retired,divorced,primary,0,3881,1,0
100209,South,North Carolina,Charlotte,blue-collar,married,primary,0,541,0,0
100279,South,North Carolina,Charlotte,retired,married,primary,0,2795,0,0
100314,South,North Carolina,Charlotte,student,single,secondary,0,822,0,0
100328,West,Utah,Provo,housemaid,married,tertiary,0,2326,0,0
100377,West,Idaho,Lewiston,technician,single,secondary,0,651,0,0
100384,East,New York,New York City,blue-collar,married,NA,0,3585,0,0
100419,East,Pennsylvania,Philadelphia,self-employed,married,secondary,0,95,1,0
100426,West,California,Los Angeles,retired,married,tertiary,0,2991,0,0
100454,East,New York,New York City,blue-collar,married,primary,0,5461,1,0
100468,West,California,Los Angeles,services,married,secondary,0,1697,0,0
100524,West,California,Los Angeles,management,divorced,tertiary,0,2367,0,0
100545,Central,Illinois,Chicago,unemployed,single,tertiary,0,302,0,0
100566,Central,Illinois,Chicago,blue-collar,single,secondary,0,3145,0,0
100573,East,New York,Troy,technician,married,secondary,0,1358,0,0
100650,West,California,San Diego,technician,single,secondary,0,1364,1,0
100720,South,Florida,Miami,admin.,divorced,secondary,0,2232,0,0
100748,East,Pennsylvania,Greensburg,retired,married,primary,0,565,0,0
100769,Central,Illinois,Chicago,blue-collar,married,primary,0,1644,0,0
100790,Central,Michigan,Detroit,management,divorced,secondary,0,0,0,0
100839,South,Georgia,Atlanta,management,married,tertiary,0,240,1,0
100853,East,New York,New York City,technician,divorced,tertiary,0,0,0,0
100930,East,New York,New York City,blue-collar,married,secondary,0,1730,1,0
100965,Central,Michigan,Detroit,management,single,tertiary,0,502,0,0
101007,East,New York,New York City,retired,divorced,tertiary,0,0,0,0
101042,West,Oregon,West Linn,admin.,divorced,secondary,0,2129,0,0
101049,West,Washington,Seattle,unemployed,single,tertiary,0,1159,0,0
101182,West,Utah,Provo,blue-collar,married,secondary,0,0,1,1
101210,East,Massachusetts,Boston,blue-collar,single,secondary,0,1243,0,1
101245,East,Pennsylvania,Philadelphia,unemployed,single,secondary,0,2424,0,0
101343,East,New York,New York City,admin.,married,secondary,0,2574,1,0
101378,South,North Carolina,Gastonia,admin.,single,secondary,0,-247,1,1
101399,South,Georgia,Atlanta,technician,single,secondary,0,12264,0,0
101434,Central,Illinois,Chicago,technician,divorced,tertiary,0,596,1,0
101476,Central,Illinois,Chicago,blue-collar,single,secondary,0,799,0,0
101483,West,California,Los Angeles,admin.,single,secondary,0,1994,0,0
101497,East,New York,New York City,student,single,secondary,0,2354,0,0
101511,Central,Michigan,Detroit,management,single,tertiary,0,985,1,0
101539,East,District of Columbia,Washington,blue-collar,single,tertiary,0,644,0,0
101602,West,California,Los Angeles,technician,married,tertiary,0,341,0,0
101707,East,New York,New York City,management,single,tertiary,0,0,1,1
101749,Central,Texas,College Station,blue-collar,single,secondary,0,1080,1,1
101798,South,Florida,Miami,admin.,married,secondary,0,4775,0,0
101910,South,Florida,Miami,student,single,tertiary,0,129,0,0
101938,South,Florida,Seminole,technician,married,secondary,0,455,1,0
101945,West,California,San Diego,retired,married,tertiary,0,2416,0,0
101966,West,California,Los Angeles,technician,single,tertiary,0,393,0,0
102008,East,District of Columbia,Washington,self-employed,single,tertiary,0,121,1,0
102036,South,Arkansas,Paragould,management,married,primary,0,1727,0,0
102071,East,Pennsylvania,Philadelphia,technician,single,tertiary,0,654,1,0
102099,East,New York,Deer Park,self-employed,divorced,tertiary,0,1070,1,0
102281,East,Massachusetts,Boston,technician,single,tertiary,0,431,0,0
102295,South,Tennessee,Collierville,management,married,tertiary,1,327,1,1
102337,West,California,Los Angeles,technician,married,tertiary,0,6822,0,0
102414,West,California,Los Angeles,self-employed,single,secondary,0,5679,1,0
102456,West,California,Los Angeles,technician,married,secondary,0,940,0,0
102519,Central,Illinois,Chicago,admin.,married,secondary,0,1967,0,0
102638,West,California,Davis,management,single,tertiary,0,86,0,0
102722,Central,Michigan,Dearborn,services,single,secondary,0,2311,0,1
102750,South,Florida,Tampa,technician,married,secondary,0,267,0,0
102771,Central,Texas,Pflugerville,technician,single,secondary,0,154,1,0
102834,Central,Illinois,Chicago,student,single,secondary,0,23878,0,0
102848,West,California,Los Angeles,technician,married,secondary,0,1035,0,0
102890,East,New York,New York City,technician,married,secondary,0,3243,0,0
102932,West,California,Davis,technician,married,secondary,0,484,1,0
102946,West,California,Los Angeles,unemployed,divorced,secondary,0,387,1,0
102981,West,California,Los Angeles,management,married,NA,0,849,1,0
103037,East,Vermont,Burlington,technician,married,secondary,0,0,1,1
103247,East,New York,New York City,management,single,tertiary,0,4176,0,0
103366,West,California,Los Angeles,management,single,tertiary,0,3384,0,0
103373,East,District of Columbia,Washington,technician,married,secondary,0,905,0,0
103380,West,Montana,Kalispell,retired,married,primary,0,508,0,0
103471,South,Florida,Miami,blue-collar,single,secondary,0,2265,0,0
103611,East,Massachusetts,Boston,blue-collar,single,secondary,0,1979,1,1
103646,West,California,Los Angeles,management,married,primary,0,5310,1,0
103723,Central,Minnesota,Brooklyn Park,services,married,secondary,0,5,0,1
